,Channel,Tweets,Time,Compound Score,Positive Score,Negative Score,Neutral Score
13,BBC,"RT @BBCOne: ""The oceans are under threat now as never ever before in human history."" - Sir David Attenborough. #BluePlanet2 https://t.co/yn…",Sun Dec 10 20:04:45 +0000 2017,-0.5267,0.0,0.152,0.848
14,BBC,"RT @BBCEarth: The countdown is on! The final episode of #BluePlanet2: Our Blue Planet starts 8pm GMT on @BBCOne, BBC Earth Nordics &amp; @BBCEa…",Sun Dec 10 19:58:55 +0000 2017,0.0,0.0,0.0,1.0
15,BBC,"RT @BBCSpringwatch: Seven British conservation heroes you should know about - this lot deserve endless 👏🏽👏🏽
#BluePlanet2 #OurBluePlanet 
ht…",Sun Dec 10 19:58:19 +0000 2017,0.5106,0.163,0.0,0.837
16,BBC,"'Good luck, little leatherback' - Sir David Attenborough 🐢

#BluePlanet2 | 8PM | @BBCOne https://t.co/vMliWBZFBE",Sun Dec 10 19:50:01 +0000 2017,0.7096,0.396,0.0,0.604
17,BBC,"'There's a huge bomb up there. I'm 76% sure. It's not like the penguin hostage situation.' 🐧😂
#ScotSquad via… https://t.co/x8I92iMImk",Sun Dec 10 19:30:02 +0000 2017,-0.1803,0.185,0.213,0.602
18,BBC,Miles of cable and thousands of twinkling bulbs have been used to create the longest festive tunnel of light in Eur… https://t.co/C22wpljo2u,Sun Dec 10 19:00:02 +0000 2017,0.6249,0.203,0.0,0.797
19,BBC,"Tonight, David Attenborough investigates the remarkable story of Jumbo the elephant. Attenborough and the Giant Ele… https://t.co/4NK1B5ZNwr",Sun Dec 10 18:33:05 +0000 2017,0.5574,0.184,0.0,0.816
20,BBC,"98-year-old Mary wins Christmas, and our hearts. 🎁❤️️
Via @BBCLookNorth. https://t.co/4gOl16THuM",Sun Dec 10 18:00:06 +0000 2017,0.5719,0.27,0.0,0.73
21,BBC,RT @BBCTwo: Who wants a Sneaky Peak at the next episode of #PeakyBlinders? 😱 https://t.co/tzCB83ceSS,Sun Dec 10 17:51:08 +0000 2017,-0.2263,0.0,0.137,0.863
22,BBC,"RT @bbcstories: ""I think people my age think that death is something to be scared of but I think it's like being free and at peace"" - Meet…",Sun Dec 10 17:50:55 +0000 2017,0.8765,0.329,0.116,0.555
23,BBC,📻 How to deal with mental health issues in the family. https://t.co/48BOLabkXK https://t.co/7Eh3EjYywg,Sun Dec 10 17:30:06 +0000 2017,0.0,0.0,0.0,1.0
24,BBC,This 12-year-old has created a cheap way to test lead levels in water using a mobile phone app. 🚰📱Via @BBCClick. https://t.co/TWqttOHJX3,Sun Dec 10 17:00:01 +0000 2017,0.25,0.1,0.0,0.9
25,BBC,📞👽 We've been listening for signs of life from other worlds for decades with little success. But what should we do… https://t.co/e3IETfS8cs,Sun Dec 10 16:30:07 +0000 2017,0.5279,0.14,0.0,0.86
26,BBC,Thousands of internet users have come together to buy this stunning castle... although it does need a little TLC. 🏰… https://t.co/qhkNd4HyM5,Sun Dec 10 16:00:06 +0000 2017,0.4588,0.136,0.0,0.864
27,BBC,"That was unexpected. 😂

Michael McIntyre's Big Show via @BBCOne. https://t.co/2QUZXppIbQ",Sun Dec 10 15:30:04 +0000 2017,0.0,0.0,0.0,1.0
28,BBC,#SkiSunday is back! ⛷🎿 Join the team in Val D'Isere for the men's slalom. 5:15pm on @BBCTwo. https://t.co/mPdHEuxHOX https://t.co/w3pqO1lCn6,Sun Dec 10 15:03:04 +0000 2017,0.3595,0.122,0.0,0.878
29,BBC,"💰 @DanTDM has been named the highest-earning YouTuber of 2017 - making £12.3m this year, according to @Forbes magaz… https://t.co/yVEcwct3Es",Sun Dec 10 14:30:07 +0000 2017,0.0,0.0,0.0,1.0
30,BBC,"Rebel Wilson reenacts her Pitch Perfect audition and it’s slap-tastic.

The Graham Norton Show | @BBCOne https://t.co/TYszXcf9ZH",Sun Dec 10 14:00:06 +0000 2017,0.4767,0.192,0.083,0.725
31,BBC,The BBC has made the 1930s issues of the complete Radio Times magazines available online for the first time. 📻 Chec… https://t.co/aeK8TTggDW,Sun Dec 10 13:30:05 +0000 2017,0.0,0.0,0.0,1.0
32,BBC,"From Dark, to the return of The Crown &amp; a #DoctorWho Christmas special, here are the TV shows worth watching in Dec… https://t.co/4qq2MlpONj",Sun Dec 10 13:00:07 +0000 2017,0.5574,0.187,0.0,0.813
33,BBC,"RT @bbcthree: In 2011 BBC Three made a documentary about a boy who defied his bullies. 

Now #EverybodysTalkingAboutJamie again. https://t.…",Sun Dec 10 12:43:52 +0000 2017,0.0,0.0,0.0,1.0
34,BBC,"'There's ignorance about employment law &amp; people don't want to hear complaints.'
Classical music has a sexual haras… https://t.co/PpdlbV0Gck",Sun Dec 10 12:30:03 +0000 2017,-0.4063,0.0,0.189,0.811
35,BBC,"'Their birthdays are never easy.' 
Hannah is one of thousands of mums living with PTSD from experiencing traumatic… https://t.co/lPMW5VXHfa",Sun Dec 10 12:00:03 +0000 2017,0.0,0.0,0.0,1.0
36,BBC,"How do you make puppets fall in love? ❤️️🎎
Puppeteers reveal their techniques. https://t.co/GPNqLrFZit https://t.co/HfB09Yw8ek",Sun Dec 10 11:30:06 +0000 2017,0.6369,0.231,0.0,0.769
37,BBC,"RT @CBeebiesHQ: He's the disco dancing, geography guide with the moves! 😎

@BBCStrictly doesn't know what's hit it! 😆

#GoJetters🕺

#Strict…",Sun Dec 10 11:15:39 +0000 2017,0.0,0.0,0.0,1.0
38,BBC,"RT @BBCBreakfast: A clairvoyant cat? 🐈 Or a turtle in the know?🐢
Animals in Russia are predicting the outcome of @FIFAWorldCup 2018 https:/…",Sun Dec 10 11:05:15 +0000 2017,0.0,0.0,0.0,1.0
39,BBC,RT @BBCOne: David Attenborough uncovers the story of Jumbo – a celebrity animal superstar who is said to have inspired the movie Dumbo. Ton…,Sun Dec 10 11:04:13 +0000 2017,0.4939,0.132,0.0,0.868
40,BBC,Watch @ScottishBallet's incredible interpretations of Stravinsky. https://t.co/NGZuhnKutW https://t.co/vUOkoaJ7mc,Sun Dec 10 11:00:06 +0000 2017,0.0,0.0,0.0,1.0
41,BBC,✊ @Time magazine has named 'the Silence Breakers' - women who spoke out against sexual abuse &amp; harassment - as its… https://t.co/roSq8US4Ev,Sun Dec 10 10:30:05 +0000 2017,-0.8271,0.0,0.312,0.688
42,BBC,RT @BBCWthrWatchers: Some great pics of #UKsnow sent in by the early risers! https://t.co/b9Of6bvvIz,Sun Dec 10 10:23:23 +0000 2017,0.6588,0.253,0.0,0.747
43,BBC,"RT @BBCR1: 🎄 BIG FESTIVE NEWS 🎄

We've invited some of your favourite stars to take over Radio 1 on Christmas Day!

Get ready for Superstar…",Sun Dec 10 10:21:03 +0000 2017,0.7597,0.237,0.0,0.763
44,BBC,"RT @BBCEarth: These orca just want a meal, but they could be risking their lives. 💙#BluePlanet2 https://t.co/JeLlETfohs",Sun Dec 10 10:19:47 +0000 2017,-0.4215,0.064,0.163,0.773
45,BBC,"'Whilst I appreciate the lovely people slowing down, if you see somebody with a guide dog, just drive on. Ziggy's g… https://t.co/CeH3p8geLq",Sun Dec 10 10:00:03 +0000 2017,0.7579,0.265,0.0,0.735
46,BBC,"‘Why won’t he let me leave?!'
The #BluePlanet2 team had a rather unexpected visitor while filming in the Galapagos.… https://t.co/vvBS7WorXO",Sun Dec 10 09:30:03 +0000 2017,0.0,0.0,0.0,1.0
47,BBC,"The Greek concept of philoxenia, which translates as ‘love of strangers’, is a warmth that makes foreigners feel im… https://t.co/O3BzC7lUp3",Sun Dec 10 09:00:08 +0000 2017,0.4588,0.143,0.0,0.857
48,BBC,"A study of nearly 12,000 children in the UK found 25% were overweight or obese at age seven, rising to 35% at 11.… https://t.co/41qA60xnUd",Sun Dec 10 08:00:06 +0000 2017,-0.3612,0.0,0.102,0.898
49,BBC,"GET EXCITED!! 🎤❤️️🎶
@Camila_Cabello has set the release date of her debut album Camila for 12 January.… https://t.co/gRtJVD7FEh",Sat Dec 09 20:30:12 +0000 2017,0.5743,0.179,0.0,0.821
50,BBC,"Have we got five eight-year-olds robbing houses? No! We've got two bams with triplets. 😂
#ScotSquad via… https://t.co/HUsw0CjaoY",Sat Dec 09 20:00:03 +0000 2017,-0.3595,0.0,0.135,0.865
51,BBC,"The history of condoms stretches back around 3,000 years – but they still offer the best protection against STIs.… https://t.co/shw3Jn5og1",Sat Dec 09 19:30:08 +0000 2017,0.7783,0.244,0.0,0.756
52,BBC,"Sexually frivolous and morally ambiguous. 
Meet pro wrestling’s pansexual phenomenon...🏳️‍🌈🤼‍♀️
Via @BBC5Live. https://t.co/2Asruxhnv8",Sat Dec 09 19:00:02 +0000 2017,0.0,0.0,0.0,1.0
53,BBC,"RT @BBCWthrWatchers: Ok, so #snow can be a pain ...but wow 😍 
We're all feeling just a little more festive after your great efforts today!…",Sat Dec 09 18:39:17 +0000 2017,0.8911,0.436,0.096,0.468
54,BBC,"RT @bbcthree: YOU'VE BEEN LIVING A LIE.
https://t.co/YUCx48Mv0o",Sat Dec 09 18:39:10 +0000 2017,0.0,0.0,0.0,1.0
55,BBC,"RT @bbcstories: Do our young men lack positive role models? Davis thought so, so he founded The Manhood Academy. #EverydayHeroes https://t.…",Sat Dec 09 18:35:51 +0000 2017,0.3182,0.145,0.092,0.763
56,BBC,"RT @BBCEarth: In Cape Verde, @ProjetoBioSal is on a mission to save baby turtles from human impact. 🐢
#OurBluePlanet w/ @AluciaProd https:/…",Sat Dec 09 18:33:32 +0000 2017,0.4939,0.144,0.0,0.856
57,BBC,"RT @BBCSpringwatch: Brrr, a chilly one tonight!
Luckily we've some gorgeous grey seals in our advent calendar to warm to cockles of your he…",Sat Dec 09 18:33:25 +0000 2017,0.8655,0.36,0.0,0.64
58,BBC,"RT @bbcmusic: ✨@RagNBoneManUK brought all the feels to #SLFN with his stunning performance of 'As You Are' 
Watch in full 👉https://t.co/JmZ…",Sat Dec 09 18:33:22 +0000 2017,0.3818,0.115,0.0,0.885
59,BBC,30 years of Fairytale of New York: 10 true tales behind the @PoguesOfficial's Christmas favourite. 🎁🎄… https://t.co/LClO0krtv0,Sat Dec 09 18:30:39 +0000 2017,0.4215,0.149,0.0,0.851
60,BBC,"Ever wondered what London looked like 2000 years ago? 🇬🇧
#DiggingForBritain, now on @BBCiPlayer 👉… https://t.co/fd74UnWzF4",Sat Dec 09 18:00:04 +0000 2017,0.3612,0.143,0.0,0.857
61,BBC,"Tonight, @McInTweet is joined by @JasonManford and @TheVampsband. 🌟🎶😂 Michael McIntyre's Big Show. 8:20pm on… https://t.co/NW4Y5gYger",Sat Dec 09 17:34:07 +0000 2017,0.0,0.0,0.0,1.0
62,BBC,"'I know it's not real because I'm surrounded by people eating crisps.' 😂🎭
#LiveAtTheApollo via @BBCTwo. https://t.co/1zwUd8oCvi",Sat Dec 09 17:00:06 +0000 2017,0.0,0.0,0.0,1.0
